"LEVEL_3_CO"	"SpecName"
"GRB"	"Accipiter gentilis"
"GRC"	"Accipiter gentilis"
"HUN"	"Accipiter gentilis"
"IDA"	"Accipiter gentilis"
"IRK"	"Accipiter gentilis"
"IRN"	"Accipiter gentilis"
"ITA"	"Accipiter gentilis"
"JAP"	"Accipiter gentilis"
"KAM"	"Accipiter gentilis"
"KAZ"	"Accipiter gentilis"
"KHA"	"Accipiter gentilis"
"KOR"	"Accipiter gentilis"
"KRA"	"Accipiter gentilis"
"KRY"	"Accipiter gentilis"
"KUR"	"Accipiter gentilis"
"LAB"	"Accipiter gentilis"
"LBS"	"Accipiter gentilis"
"MAG"	"Accipiter gentilis"
"MAI"	"Accipiter gentilis"
"MAN"	"Accipiter gentilis"
"MAS"	"Accipiter gentilis"
"MIC"	"Accipiter gentilis"
"MIN"	"Accipiter gentilis"
"MNT"	"Accipiter gentilis"
"MON"	"Accipiter gentilis"
"MOR"	"Accipiter gentilis"
"MXE"	"Accipiter gentilis"
"MXN"	"Accipiter gentilis"
"MXS"	"Accipiter gentilis"
"MYA"	"Accipiter gentilis"
"NBR"	"Accipiter gentilis"
"NCS"	"Accipiter gentilis"
"NDA"	"Accipiter gentilis"
"NEP"	"Accipiter gentilis"
"NET"	"Accipiter gentilis"
"NEV"	"Accipiter gentilis"
"NFL"	"Accipiter gentilis"
"NOR"	"Accipiter gentilis"
"NSC"	"Accipiter gentilis"
"NUN"	"Accipiter gentilis"
"NWH"	"Accipiter gentilis"
"NWJ"	"Accipiter gentilis"
"NWM"	"Accipiter gentilis"
"NWT"	"Accipiter gentilis"
"NWY"	"Accipiter gentilis"
"ONT"	"Accipiter gentilis"
"ORE"	"Accipiter gentilis"
"PEI"	"Accipiter gentilis"
"PEN"	"Accipiter gentilis"
"POL"	"Accipiter gentilis"
"POR"	"Accipiter gentilis"
"PRM"	"Accipiter gentilis"
"QUE"	"Accipiter gentilis"
"ROM"	"Accipiter gentilis"
"RUC"	"Accipiter gentilis"
"RUE"	"Accipiter gentilis"
"RUN"	"Accipiter gentilis"
"RUS"	"Accipiter gentilis"
"RUW"	"Accipiter gentilis"
"SAK"	"Accipiter gentilis"
"SAR"	"Accipiter gentilis"
"SAS"	"Accipiter gentilis"
"SPA"	"Accipiter gentilis"
"SWE"	"Accipiter gentilis"
"SWI"	"Accipiter gentilis"
"TCS"	"Accipiter gentilis"
"TUE"	"Accipiter gentilis"
"TUR"	"Accipiter gentilis"
"TVA"	"Accipiter gentilis"
"UKR"	"Accipiter gentilis"
"UTA"	"Accipiter gentilis"
"VER"	"Accipiter gentilis"
"WAS"	"Accipiter gentilis"
"WHM"	"Accipiter gentilis"
"WIS"	"Accipiter gentilis"
"WSB"	"Accipiter gentilis"
"WYO"	"Accipiter gentilis"
"YAK"	"Accipiter gentilis"
"YUG"	"Accipiter gentilis"
"YUK"	"Accipiter gentilis"
"SUL"	"Accipiter griseiceps"
"ALT"	"Accipiter gularis"
"AMU"	"Accipiter gularis"
"BRY"	"Accipiter gularis"
"CHC"	"Accipiter gularis"
"CHI"	"Accipiter gularis"
"CHM"	"Accipiter gularis"
"CHN"	"Accipiter gularis"
"CHS"	"Accipiter gularis"
"CTA"	"Accipiter gularis"
"IRK"	"Accipiter gularis"
"JAP"	"Accipiter gularis"
"KHA"	"Accipiter gularis"
"KOR"	"Accipiter gularis"
"KRA"	"Accipiter gularis"
"KUR"	"Accipiter gularis"
"MON"	"Accipiter gularis"
"MRN"	"Accipiter gularis"
"NNS"	"Accipiter gularis"
"PRM"	"Accipiter gularis"
"TAI"	"Accipiter gularis"
"TVA"	"Accipiter gularis"
"WSB"	"Accipiter gularis"
"YAK"	"Accipiter gularis"
"CUB"	"Accipiter gundlachi"
"NWC"	"Accipiter haplochrous"
"MOL"	"Accipiter henicogrammus"
"MDG"	"Accipiter henstii"
"SOL"	"Accipiter imitator"
"BIS"	"Accipiter luteoschistaceus"
"MDG"	"Accipiter madagascariensis"
"NWG"	"Accipiter melanochlamys"
"ANG"	"Accipiter melanoleucus"
"BEN"	"Accipiter melanoleucus"
"BOT"	"Accipiter melanoleucus"
"CAB"	"Accipiter melanoleucus"
"CAF"	"Accipiter melanoleucus"
"CMN"	"Accipiter melanoleucus"
"CON"	"Accipiter melanoleucus"
"CPP"	"Accipiter melanoleucus"
"DJI"	"Accipiter melanoleucus"
"EQG"	"Accipiter melanoleucus"
"ERI"	"Accipiter melanoleucus"
"ETH"	"Accipiter melanoleucus"
"GAB"	"Accipiter melanoleucus"
"GHA"	"Accipiter melanoleucus"
"GUI"	"Accipiter melanoleucus"
"IVO"	"Accipiter melanoleucus"
"KEN"	"Accipiter melanoleucus"
"LBR"	"Accipiter melanoleucus"
"LES"	"Accipiter melanoleucus"
"MLW"	"Accipiter melanoleucus"
"MOZ"	"Accipiter melanoleucus"
"NAM"	"Accipiter melanoleucus"
"NAT"	"Accipiter melanoleucus"
"NGA"	"Accipiter melanoleucus"
"OFS"	"Accipiter melanoleucus"
"RWA"	"Accipiter melanoleucus"
"SIE"	"Accipiter melanoleucus"
"SOM"	"Accipiter melanoleucus"
"SUD"	"Accipiter melanoleucus"
"SWZ"	"Accipiter melanoleucus"
"TAN"	"Accipiter melanoleucus"
"TOG"	"Accipiter melanoleucus"
"TVL"	"Accipiter melanoleucus"
"UGA"	"Accipiter melanoleucus"
"YEM"	"Accipiter melanoleucus"
"ZAI"	"Accipiter melanoleucus"
"ZAM"	"Accipiter melanoleucus"
"ZIM"	"Accipiter melanoleucus"
"BIS"	"Accipiter meyerianus"
"MOL"	"Accipiter meyerianus"
"NWG"	"Accipiter meyerianus"
"SOL"	"Accipiter meyerianus"
"ANG"	"Accipiter minullus"
"BOT"	"Accipiter minullus"
"BUR"	"Accipiter minullus"
"CPP"	"Accipiter minullus"
"CPV"	"Accipiter minullus"
"ERI"	"Accipiter minullus"
"ETH"	"Accipiter minullus"
"KEN"	"Accipiter minullus"
"MLW"	"Accipiter minullus"
"MOZ"	"Accipiter minullus"
"NAM"	"Accipiter minullus"
"NAT"	"Accipiter minullus"
"RWA"	"Accipiter minullus"
"SOM"	"Accipiter minullus"
"SUD"	"Accipiter minullus"
"SWZ"	"Accipiter minullus"
"TAN"	"Accipiter minullus"
"TVL"	"Accipiter minullus"
"UGA"	"Accipiter minullus"
"ZAI"	"Accipiter minullus"
"ZAM"	"Accipiter minullus"
"ZIM"	"Accipiter minullus"
"SUL"	"Accipiter nanus"
"AFG"	"Accipiter nisus"
"ALB"	"Accipiter nisus"
"ALG"	"Accipiter nisus"
"ALT"	"Accipiter nisus"
"AMU"	"Accipiter nisus"
"AUT"	"Accipiter nisus"
"BGM"	"Accipiter nisus"
"BLR"	"Accipiter nisus"
"BLT"	"Accipiter nisus"
"BRY"	"Accipiter nisus"
"BUL"	"Accipiter nisus"
"CHC"	"Accipiter nisus"
"CHI"	"Accipiter nisus"
"CHM"	"Accipiter nisus"
"CHN"	"Accipiter nisus"
"CHQ"	"Accipiter nisus"
"CHT"	"Accipiter nisus"
"CHX"	"Accipiter nisus"
"CNY"	"Accipiter nisus"
"COR"	"Accipiter nisus"
"CTA"	"Accipiter nisus"
"CZE"	"Accipiter nisus"
"DEN"	"Accipiter nisus"
"EAI"	"Accipiter nisus"
"EHM"	"Accipiter nisus"
"FIN"	"Accipiter nisus"
"FRA"	"Accipiter nisus"
"GER"	"Accipiter nisus"
"GRB"	"Accipiter nisus"
"GRC"	"Accipiter nisus"
"HUN"	"Accipiter nisus"
"IND"	"Accipiter nisus"
"IRE"	"Accipiter nisus"
"IRK"	"Accipiter nisus"
"IRN"	"Accipiter nisus"
"ITA"	"Accipiter nisus"
"JAP"	"Accipiter nisus"
"KAM"	"Accipiter nisus"
"KAZ"	"Accipiter nisus"
"KGZ"	"Accipiter nisus"
"KHA"	"Accipiter nisus"
"KOR"	"Accipiter nisus"
"KRA"	"Accipiter nisus"
"KRY"	"Accipiter nisus"
"KUR"	"Accipiter nisus"
"MAG"	"Accipiter nisus"
"MDR"	"Accipiter nisus"
"MON"	"Accipiter nisus"
"MOR"	"Accipiter nisus"
"MYA"	"Accipiter nisus"
"NCS"	"Accipiter nisus"
"NEP"	"Accipiter nisus"
"NET"	"Accipiter nisus"
"NOR"	"Accipiter nisus"
"PAK"	"Accipiter nisus"
"PAL"	"Accipiter nisus"
"POL"	"Accipiter nisus"
"POR"	"Accipiter nisus"
"PRM"	"Accipiter nisus"
"ROM"	"Accipiter nisus"
"RUC"	"Accipiter nisus"
"RUE"	"Accipiter nisus"
"RUN"	"Accipiter nisus"
"RUS"	"Accipiter nisus"
"RUW"	"Accipiter nisus"
"SAK"	"Accipiter nisus"
"SAR"	"Accipiter nisus"
"SIC"	"Accipiter nisus"
"SPA"	"Accipiter nisus"
"SWE"	"Accipiter nisus"
"SWI"	"Accipiter nisus"
"TCS"	"Accipiter nisus"
"TUE"	"Accipiter nisus"
"TUN"	"Accipiter nisus"
"TUR"	"Accipiter nisus"
"TVA"	"Accipiter nisus"
"TZK"	"Accipiter nisus"
"UKR"	"Accipiter nisus"
"UZB"	"Accipiter nisus"
"WHM"	"Accipiter nisus"
"WSB"	"Accipiter nisus"
"YAK"	"Accipiter nisus"
"YUG"	"Accipiter nisus"
"BIS"	"Accipiter novaehollandiae"
"LSI"	"Accipiter novaehollandiae"
"MAQ"	"Accipiter novaehollandiae"
"MOL"	"Accipiter novaehollandiae"
"NFK"	"Accipiter novaehollandiae"
"NSW"	"Accipiter novaehollandiae"
"NTA"	"Accipiter novaehollandiae"
"NWC"	"Accipiter novaehollandiae"
"NWG"	"Accipiter novaehollandiae"
"QLD"	"Accipiter novaehollandiae"
"SOA"	"Accipiter novaehollandiae"
"SOL"	"Accipiter novaehollandiae"
"TAS"	"Accipiter novaehollandiae"
"VIC"	"Accipiter novaehollandiae"
"WAU"	"Accipiter novaehollandiae"
"ANG"	"Accipiter ovampensis"
"BEN"	"Accipiter ovampensis"
"BKN"	"Accipiter ovampensis"
"BOT"	"Accipiter ovampensis"
"BUR"	"Accipiter ovampensis"
"CAF"	"Accipiter ovampensis"
"CHA"	"Accipiter ovampensis"
"CMN"	"Accipiter ovampensis"
"CPP"	"Accipiter ovampensis"
"CPV"	"Accipiter ovampensis"
"ERI"	"Accipiter ovampensis"
"ETH"	"Accipiter ovampensis"
"GAM"	"Accipiter ovampensis"
"GHA"	"Accipiter ovampensis"
"GNB"	"Accipiter ovampensis"
"GUI"	"Accipiter ovampensis"
"IVO"	"Accipiter ovampensis"
"KEN"	"Accipiter ovampensis"
"MLI"	"Accipiter ovampensis"
"MLW"	"Accipiter ovampensis"
"MOZ"	"Accipiter ovampensis"
"NAM"	"Accipiter ovampensis"
